title,url,note
Rudin - Real and Complex Analysis (Ch. 2),https://archive.org/details/rudin-real-complex,σ-measures; outer measure → Carathéodory
Spivak - Calculus on Manifolds §4,https://archive.org/details/spivak-com,Stokes skice; diferenciālformas
Tao - 254A notes on measure theory,https://terrytao.wordpress.com/2010/01/03/254a-notes-1-concentration-of-measure/,Labs “why” skaidrojums
Joel W. Robbin - INTRODUCTION TO DIFFERENTIAL GEOMETRY,https://people.math.ethz.ch/~salamon/PREPRINTS/diffgeo.pdf,Labs kurss ievadam bet kam arī laba sagatavotība
David Tong - General Relativity University of Cambridge Part III Mathematical Tripos,http://www.damtp.cam.ac.uk/user/tong/gr/one.pdf,Diferenciālģeometrija fiziķiem arī par ģeodēziskām līnijām
Peter W. Michor - Introduction,https://www.mat.univie.ac.at/~michor/dgbook.pdf,Pietiekami moderns kurss noderīgs kas iedziļinās priekšmetā
Laithy - Introduction to Differential Geometry. Manifolds, vector fields, and differential forms,https://www.math.toronto.edu/laithy/3672021/DiffGeomNotes_short.pdf,Ja submanifolds tad nopietni
Cornell university. arxiv. math.DG,https://arxiv.org/list/math.DG/new,Kornēlas universitātes saraksts diferenciālģeometrijā
"Manfredo P. do Carmo,Differential Geometry of Curves and Surfaces",https://docenti.ing.unipi.it/griff/files/dC.pdf,Pasaulslavenā autora slavenais darbs bez kā iztikt grūti
"Markus Deserno,Notes on Differential Geometry with special emphasis on surfaces in R3",https://www.cmu.edu/biolphys/deserno/pdf/diff_geom.pdf,Īss ļoti labs ievads DG


