key,title,authors,year,venue,url,tags
providens-01,"Burgert A Senekal, Die neerslag van Russiese propaganda in kommentare op Maroela Media se nuusberigte oor die oorlog in Oekraïne, (Traces of Russian propaganda narratives in comments on Maroela Media’s news reports about the war in Ukraine)  2023-05-31",,2023,,https://doi.org/10.56273/1995-5928/2023/j20n2b2,
providens-02,"Burgert Adriaan Senekal, ChatGPT as a Source of Information about Russian Military Involvement in Ukraine (2014–Present), University of the Free State, South Africa,  https://www.tandfonline.com/doi/pdf/10.1080/02500167.2024.2405018",,2014,,https://doi.org/10.1080/02500167.2024.2405018,
providens-03,"Burgert Senekal, Russian disinformation, Large Language Models (LLMs) and the War in Ukraine: A South African perspective,  2025",,2025,,https://scireprints.lu.lv/547/,
providens-04,"Anna Rāta, Īss sengrieķu valodas kurss, Zvaigzne, Rīga, 1983",,1983,,,
providens-05,"William Gardner Hale, The Art of Reading Latin: How to Teach It. Cornell University, Boston, Ginn & Co., pp. 31",,,,,
providens-06,"1989,","Владимир Вернадский, Биосфера и ноосфера",1989,,https://www.spsl.nsc.ru/win/nelbib/vernadsky.pdf,
providens-07,"Oleg Krishtal, MOCARTA LOGS. In: To the Singing of Birds,  2024",,2024,,https://scireprints.lu.lv/522/,
providens-08,"Oleg Krishtal, Mozart’s Window (afterword: an optimistic scenario). In: To the Singing of Birds.  2024",,2024,,https://scireprints.lu.lv/521/,
providens-09,"Dainis Zeps, Latin Dictionary Tools in Internet,   , 2009",,2009,,https://hal.science/hal-00412265v1,
providens-10,"D. Zeps, Seno valodu profesors Pauls Žibeiks un viņa metode (1987.-1992.),  2010",,1987,,https://dspace.lu.lv/dspace/handle/7/28382,
providens-11,"Dainis Zeps, The One Savior Paradigm,  2009",,2009,,https://mpra.ub.uni-muenchen.de/17544/1/one.saviour.pdf,
providens-12,"Dainis Zeps, The Learning of Ancient Languages as (super)Human Effort,  2010",,2010,,https://dspace.lu.lv/dspace/handle/7/1424,
providens-13,"Dainis Zeps, Cognitum hypothesis and cognitum consciousness. How time and space conception of idealistic philosophy is supported by contemporary physics,  2010",,2010,,https://scireprints.lu.lv/38/,
providens-14,"Dainis Zeps, GPT no iekšpuses: ko var iesākt ar GPT? Matemātiķa skatījums. Mans skatījums.  , 2023",,2023,,https://scireprints.lu.lv/503/2/GPT.kas.tas.ir.pdf,
providens-15,"Dainis Zeps, Planetārā izglītība: sarunas ar LLM mašīnām par aktuālām starptautiskām tēmām,  2025.",,2025,,https://lingua.id.lv/art/war.31.pdf,
providens-16,"D. Zeps, Planetary Education: Conversations with LLM Machines on Current International Issues,  2025",,2025,,https://lingua.id.lv/art/war.32.pdf,
providens-17,"D. Zeps, Vai būt blēdim ir izdevīgi? Ko saka Mākslīgais internets, AI?,  , 2024",,2024,,https://core.ac.uk/reader/612052838,
providens-18,"D. Zeps, War destroys the weak, the cowardly, the stupid, Added. 21.3.2024,",,2024,,https://lingua.id.lv/art/war.3.pdf,
providens-19,"D. Zeps, Karš izdeldē vājos, gļēvos, glupos, Papildināts.2.4.2024.,",,2024,,https://lingua.id.lv/art/war.5.pdf,
providens-20,"D. Zeps, Что на Руси творится: Проект Россия,  , 2017",,2017,,https://www.researchgate.net/publication/318038370,
providens-21,"D. Zeps, Russia's aggressive war against Ukraine: a conversation with gpt.4o and its analysis, Zinātnes un Reliģijas dialoga grupas seminārs, 27. novembrī, 2024,",,2024,,https://lingua.id.lv/art/war.15.pdf,
providens-22,"D. Zeps, The New World, or The world after Ukraine's victory,",,,,https://hal.science/hal-04839439,
providens-23,"D. Zeps, Russia delenda est: how we understand this,",,,,https://www.researchgate.net/publication/387538894,
providens-24,"Dainis Zeps, Russia delenda est, vai Demilitarizācija, Depropagandizācija, Deeskalizācija: kā mēs to saprotam?",,,,https://www.researchgate.net/publication/387521785,
providens-25,"Dainis Zeps, Kā palīdzēt Ukrainai uzvarēt? Kas mums ir jādara Ukrainas atbalstam? Jauna saruna ar MI,  2025",,2025,,https://lingua.id.lv/art/war.25.pdf,
providens-26,"Dainis Zeps, Ukrainas uzvara pār agresoru un teroristisko Krieviju kā vienīgais ceļš uz stabilu mieru Ukrainā,  , 2025",,2025,,http://dx.doi.org/10.13140/RG.2.2.23258.45764,
providens-27,"Dainis Zeps, Can AI Help End the War? LLMs in support of Peace Conference Project. A new conversation,  , February, 2025",,2025,,https://zenodo.org/records/14849594,
providens-28,"Dainis Zeps, Russia's aggressive war against Ukraine: a conversation with gpt.4o and its analysis,  https://scireprints.lu.lv/525/ , 2024",,2024,,https://lingua.id.lv/art/war.15.pdf,
providens-29,"Dainis Zeps, On how to develop a Peace conference space in LLM environment.  2025",,2025,,https://lingua.id.lv/art/war.39.pdf,
providens-30,"Dainis Zeps,  Jaunā Minhene, kurp tā vedīs? Papildināts 21.02.2025,  2025",,2025,,https://lingua.id.lv/art/war.40.pdf,
providens-31,"Dainis Zeps, Vai ASV zaudēs Krievijas glābšanas avantūrā Ukrainas karā? Saruna ar LLM Grok3,  2025",,2025,,https://zenodo.org/records/14949820,
providens-32,"Dainis Zeps, What can make the US stop supporting Russia from its collapse? Conversation with LLM Grok3.  2025",,2025,,https://lingua.id.lv/art/war.44.pdf,
providens-33,"Dainis Zeps, What can save NATO? Stand for Ukraine!   , 2025",,2025,,https://zenodo.org/records/14937005,
providens-34,"Alfred J. Lotka (1925) ""Elements of Physical Biology"" reprinted by Dover in 1956 as Elements of Mathematical Biology.",,1925,,,
providens-35,"Ieva Fībika, Prometejs,  , 2025",,2025,,https://enciklopedija.lv/skirklis/239897-Prometejs,
