key,title,authors,year,venue,url,tags
public-01,"Vidvuds Z. Beldavs, ""Aicinājums uz ANO Ģenerālas asamblejas debatēm par Krievijas leģitimitāti Drošības padomē"", [",,,,https://lingua.id.lv/art/war.1.pdf](https://lingua.id.lv/art/war.1.pdf,
public-02,"Dainis Zeps, ""Karš izdeldē vājos, gļēvos, glupos"", [",,,,https://lingua.id.lv/art/war.2.pdf](https://lingua.id.lv/art/war.2.pdf,
public-03,"Dainis Zeps, ""War destroys the weak, the cowardly, the stupid"", [",,,,https://lingua.id.lv/art/war.3.pdf](https://lingua.id.lv/art/war.3.pdf,
public-04,"Dainis Zeps, ""Karš izdeldē vājos, gļēvos, glupos"", [",,,,https://lingua.id.lv/art/war.4.pdf](https://lingua.id.lv/art/war.4.pdf,
public-05,"Dainis Zeps, ""Karš izdeldē vājos, gļēvos, glupos"", [",,,,https://lingua.id.lv/art/war.5.pdf](https://lingua.id.lv/art/war.5.pdf,
public-06,"Dainis Zeps, ""Can AI Help End the War? LLMs in support of Peace Conference Project. A new conversation"", [",,,,https://lingua.id.lv/art/war.6.pdf](https://lingua.id.lv/art/war.6.pdf,
public-07,"Dainis Zeps, ""Should the Biden government be sued for meddling in their country's presidential election  by using an arms blocking on Ukraine?"", [",,,,https://lingua.id.lv/art/war.7.pdf](https://lingua.id.lv/art/war.7.pdf,
public-08,"Dainis Zeps, ""Vai būt blēdim ir izdevīgi? Ko saka Mākslīgais internets"", [",,,,https://lingua.id.lv/art/war.8.pdf](https://lingua.id.lv/art/war.8.pdf,
public-09,"Dainis Zeps, ""Trump and Putin in 2025: A Stalin-Hitler Betrayal Redux?"", [",,2025,,https://lingua.id.lv/art/war.9.pdf](https://lingua.id.lv/art/war.9.pdf,
public-10,"Dainis Zeps, ""Krievijas Ukrainas karš: saruna ar gpt4o"", [",,,,https://lingua.id.lv/art/war.10.pdf](https://lingua.id.lv/art/war.10.pdf,
public-11,"Dainis Zeps, ""Hronika. Karš. 2024"", [",,2024,,https://lingua.id.lv/art/war.11.pdf](https://lingua.id.lv/art/war.11.pdf,
public-12,"Dainis Zeps, ""Війна Росії проти України: розмова з gpt"", [",,,,https://lingua.id.lv/art/war.14.pdf](https://lingua.id.lv/art/war.14.pdf,
public-13,"Dainis Zeps, ""Krievijas agresīvais karš pret Ukrainu: saruna ar gpt.4o un tās analīze"", [",,,,https://lingua.id.lv/art/war.15.pdf](https://lingua.id.lv/art/war.15.pdf,
public-14,"Dainis Zeps, ""Conversation about war in Ukraine"", [",,,,https://lingua.id.lv/art/war.16.pdf](https://lingua.id.lv/art/war.16.pdf,
public-15,"Dainis Zeps, Otrā saruna ar ChatGPT par karu Ukrainā"", [",,,,https://lingua.id.lv/art/war.17.pdf](https://lingua.id.lv/art/war.17.pdf,
public-16,"Dainis Zeps, ""The New World, or The world after Ukraine’s victory"", [",,,,https://lingua.id.lv/art/war.18.pdf](https://lingua.id.lv/art/war.18.pdf,
public-17,"Dainis Zeps, ""Russia delenda est, vai Demilitarizācija, Depropagandizācija, Deeskalizācija: kā mēs to saprotam? "", [",,,,https://lingua.id.lv/art/war.19.pdf](https://lingua.id.lv/art/war.19.pdf,
public-18,"Dainis Zeps, ""Russia delenda est, або демілітаризація, депропаганда, деескалація: як ми це розуміємо? "", [",,,,https://lingua.id.lv/art/war.20.pdf](https://lingua.id.lv/art/war.20.pdf,
public-19,"Dainis Zeps, ""Russia delenda est, or Demilitarisation, Depropagandisation, Deescalisation: how we see this?"", [",,,,https://lingua.id.lv/art/war.21.pdf](https://lingua.id.lv/art/war.21.pdf,
public-20,"Dainis Zeps, ""Russia delenda est, how we understand this"", [",,,,https://lingua.id.lv/art/war.22.pdf](https://lingua.id.lv/art/war.22.pdf,
public-21,"Dainis Zeps, ""Fizika vai Īstenība, kas prevalē?"", [",,,,https://lingua.id.lv/art/war.23.pdf](https://lingua.id.lv/art/war.23.pdf,
public-22,"Dainis Zeps, ""Physics or Reality: Which Prevails?"", [",,,,https://lingua.id.lv/art/war.24.pdf](https://lingua.id.lv/art/war.24.pdf,
public-23,"Dainis Zeps, ""Kā palīdzēt Ukrainai uzvarēt? Kas mums ir jādara Ukrainas atbalstam? Jauna saruna ar MI"", [",,,,https://lingua.id.lv/art/war.25.pdf](https://lingua.id.lv/art/war.25.pdf,
public-24,"Dainis Zeps, ""Maltsev’s argument: WILL AI BE ABLE TO UPGRADE ALL OF HUMANITY'S MECHANICAL INVENTIONS"", [",,,,https://lingua.id.lv/art/war.26.pdf](https://lingua.id.lv/art/war.26.pdf,
public-25,"Dainis Zeps, ""May AI Machines End the War? A Peace Conference Project"", [",,,,https://lingua.id.lv/art/war.27.pdf](https://lingua.id.lv/art/war.27.pdf,
public-26,"B. A. Senekal, Dainis Zeps, ""May AI Machines End the War? An Invitation to the Peace Conference Project"", [",,,,https://lingua.id.lv/art/war.28.pdf](https://lingua.id.lv/art/war.28.pdf,
public-27,"Dainis Zeps, ""Can AI Help End the War? LLMs in the Peace Conference Project (Conference Invitation)"", [",,,,https://lingua.id.lv/art/war.29.pdf](https://lingua.id.lv/art/war.29.pdf,
public-28,"B. A. Senekal, Dainis Zeps, ""May AI Machines End the War? A Peace Conference Project"", [",,,,https://lingua.id.lv/art/war.30.pdf](https://lingua.id.lv/art/war.30.pdf,
public-29,"Dainis Zeps, ""Planetārā izglītība: sarunas ar LLM mašīnām par aktuālām starptautiskām tēmām"", [",,,,https://lingua.id.lv/art/war.31.pdf](https://lingua.id.lv/art/war.31.pdf,
public-30,"Dainis Zeps, ""Planetary Education: Conversations with LLM Machines on Current International Issues"", [",,,,https://lingua.id.lv/art/war.32.pdf](https://lingua.id.lv/art/war.32.pdf,
public-31,"Dainis Zeps, ""Планетарна освіта: розмови з LLM"", [",,,,https://lingua.id.lv/art/war.33.pdf](https://lingua.id.lv/art/war.33.pdf,
public-32,"Dainis Zeps, ""Can AI Help End the War? LLMs in support of Peace Conference Project. A new conversation"", [",,,,https://lingua.id.lv/art/war.34.pdf](https://lingua.id.lv/art/war.34.pdf,
public-33,"Dainis Zeps, ""Ukrainas uzvara pār agresoru un teroristisko Krieviju kā vienīgais ceļš uz stabilu mieru Ukrainā"", [",,,,https://lingua.id.lv/art/war.35.pdf](https://lingua.id.lv/art/war.35.pdf,
public-34,"Dainis Zeps, ""Jaunā Minhene, kurp tā vedīs?"", [",,,,https://lingua.id.lv/art/war.36.pdf](https://lingua.id.lv/art/war.36.pdf,
public-35,"Dainis Zeps, ""Jaunā Minhene, kurp tā vedīs? Papildināts 16.02.2025"", [",,2025,,https://lingua.id.lv/art/war.37.pdf](https://lingua.id.lv/art/war.37.pdf,
public-36,"Burgert Senekal, Dainis Zeps, "" May AI end the war in Ukraine? Peace conference project"", [",,,,https://lingua.id.lv/art/war.38.pdf](https://lingua.id.lv/art/war.38.pdf,
public-37,"Dainis Zeps, ""On how to develop a Peace conference space in LLM environment"", [",,,,https://lingua.id.lv/art/war.39.pdf](https://lingua.id.lv/art/war.39.pdf,
public-38,"Dainis Zeps, ""Jaunā Minhene, kurp tā vedīs?"", [",,,,https://lingua.id.lv/art/war.40.pdf](https://lingua.id.lv/art/war.40.pdf,
public-39,"Dainis Zeps, ""The war in Ukraine. New conversation with grok3"", [",,,,https://lingua.id.lv/art/war.41.pdf](https://lingua.id.lv/art/war.41.pdf,
public-40,"Dainis Zeps, ""Karš Ukrainā pret agresoru Krieviju. Saruna ar LLM Grok3"", [",,,,https://lingua.id.lv/art/war.42.pdf](https://lingua.id.lv/art/war.42.pdf,
public-41,"Dainis Zeps, ""Vai ASV zaudēs Krievijas glābšanas avantūrā Ukrainas karā? Saruna ar LLM Grok3"", [",,,,https://lingua.id.lv/art/war.43.pdf](https://lingua.id.lv/art/war.43.pdf,
public-42,"Dainis Zeps, ""What can make the US stop supporting Russia"", [",,,,https://lingua.id.lv/art/war.44.pdf](https://lingua.id.lv/art/war.44.pdf,
public-43,"Dainis Zeps, ""Par eskalāciju uz WWIII, kas to dara? Saruna ar ChatGPT, [",,,,https://lingua.id.lv/art/war.45.pdf](https://lingua.id.lv/art/war.45.pdf,
public-44,"Dainis Zeps, ""The Escalation Toward WWIII: Who is Driving It? A Conversation with ChatGPT"", [",,,,https://lingua.id.lv/art/war.46.pdf](https://lingua.id.lv/art/war.46.pdf,
public-45,"Dainis Zeps, ""Trampa atrašanās prezidenta amatā ir pretrunā ar “lojalitātes” ideju, saka Grok3"", [",,,,https://lingua.id.lv/art/war.47.pdf](https://lingua.id.lv/art/war.47.pdf,
public-46,"Dainis Zeps, ""What can save NATO? Stand for Ukraine!"", [",,,,https://lingua.id.lv/art/war.48.pdf](https://lingua.id.lv/art/war.48.pdf,
public-47,"Dainis Zeps, ""What can save NATO? Stand for Ukraine! Extended with questions for LLMs"", [",,,,https://lingua.id.lv/art/war.50.pdf](https://lingua.id.lv/art/war.50.pdf,
public-48,"Dainis Zeps, ""What can save NATO? Stand for Ukraine!"", [",,,,https://lingua.id.lv/art/war.51.pdf](https://lingua.id.lv/art/war.51.pdf,
public-49,"Dainis Zeps, ""Mēģināt glābt Krieviju no iznīcības ir kara noziegums. Russia delenda est"", [",,,,https://lingua.id.lv/art/war.54.pdf](https://lingua.id.lv/art/war.54.pdf,
public-50,"Dainis Zeps, ""AI intelekts ir mūsu pašu intelekts. AI intelligence is our own intelligence"", [",,,,https://lingua.id.lv/art/war.55.pdf](https://lingua.id.lv/art/war.55.pdf,
public-51,"Dainis Zeps, ""Vai mākslīgais intelekts var cīnīties pret Putinu, Kremli, viņu propagandu, meliem, pret Krievijas agresiju pret Ukrainu? #StandwithUkraine"", [",,,,https://lingua.id.lv/art/war.56.pdf](https://lingua.id.lv/art/war.56.pdf,
public-52,"Dainis Zeps, ""Can the artificial intelligence fight against Putin, the Kremlin, their propaganda, lies, against Russian aggression against Ukraine? #StandwithUkraine"", [",,,,https://lingua.id.lv/art/war.57.pdf](https://lingua.id.lv/art/war.57.pdf,
public-53,"Dainis Zeps, ""Can Information Wage War against Evil, against Aggressive Russia? #StandwithUkraine"", [",,,,https://lingua.id.lv/art/war.58.pdf](https://lingua.id.lv/art/war.58.pdf,
public-54,"Dainis Zeps, ""Information Against Evil. #StandWithUkraine"", [",,,,https://lingua.id.lv/art/war.59.pdf](https://lingua.id.lv/art/war.59.pdf,
public-55,"Dainis Zeps, ""Чи може інформація вести війну проти зла,"", [",,,,https://lingua.id.lv/art/war.60.pdf](https://lingua.id.lv/art/war.60.pdf,
public-56,"Dainis Zeps, ""Vai Ķīna ir ASV galvenais ienaidnieks? Vai ir kāds cits iegansts"", [",,,,https://lingua.id.lv/art/war.61.pdf](https://lingua.id.lv/art/war.61.pdf,
public-57,"Dainis Zeps, ""Information against Evil. How information and AI might impact Ukrainian’s war outcome? "", [",,,,https://lingua.id.lv/art/war.62.pdf](https://lingua.id.lv/art/war.62.pdf,
public-58,"Dainis Zeps, ""Real Peace or Political Theater? Western Attempts to End the War in Europe"", [",,,,https://lingua.id.lv/art/war.63.pdf](https://lingua.id.lv/art/war.63.pdf,
public-59,"Dainis Zeps, ""Did Physics Analogies Anticipate Cryptocurrencies?"", [",,,,https://lingua.id.lv/art/war.64.pdf](https://lingua.id.lv/art/war.64.pdf,
public-60,"saruna ar MI par ASV iekšpolitikas sasāpējušiem jautājumiem"", [","Dainis Zeps, ""Kāda attēla analīze",,,https://lingua.id.lv/art/war.65.pdf](https://lingua.id.lv/art/war.65.pdf,
public-61,"Dainis Zeps, ""Politiskā ķīmija: Pilnīgai Ukrainas uzvarai! #StandWithUkraine"", [",,,,https://lingua.id.lv/art/war.66.pdf](https://lingua.id.lv/art/war.66.pdf,
public-62,"Dainis Zeps, ""Framework for Reviving Filip Orlik’s 1710 Constitution as a Governance Model for a Post-Russia Kievan Rus’"", [",,1710,,https://lingua.id.lv/art/war.69.pdf](https://lingua.id.lv/art/war.69.pdf,
public-63,"Grok"", [","Dainis Zeps, ""Bruce Bueno de Mesquita Predictions Analysis",,,https://lingua.id.lv/art/war.71.pdf](https://lingua.id.lv/art/war.71.pdf,
public-64,"Dainis Zeps, ""Aļaska 2025. gada 15. augusts. Vai mežonis brutalitātē pārspēs mežoni?"", [",,2025,,https://lingua.id.lv/art/war.72.pdf](https://lingua.id.lv/art/war.72.pdf,
public-65,"Dainis Zeps, ""The AI That Invented Times Radio: When Language Models Go Rogue"""", [",,,,https://lingua.id.lv/art/war.73.pdf](https://lingua.id.lv/art/war.73.pdf,
public-66,"Dainis Zeps, ""Ko gaidīt no ASV un Trampa? #StandWithUkraine"", [",,,,https://lingua.id.lv/art/war.74.pdf](https://lingua.id.lv/art/war.74.pdf,
public-67,"ASV – Krievija : Šodienas pasaule #StandWithUkraine"", [","Dainis Zeps, ""Ukraina",,,https://lingua.id.lv/art/war.75.pdf](https://lingua.id.lv/art/war.75.pdf,
