key,title,authors,year,venue,url,tags
ukraina-01,"D. Zeps, Ko gaidīt no ASV un Trampa? #StandWithUkraine"",",,,,https://zenodo.org/records/17104358,
ukraina-02,"D. Zeps, The AI That Invented Times Radio: When Language Models Go Rogue,",,,,https://lingua.id.lv/art/war.73.pdf,
ukraina-03,"D. Zeps, Aļaska 2025. gada 15. augusts. Vai mežonis brutalitātē pārspēs mežoni?",,2025,,https://zenodo.org/records/16813267,
ukraina-04,"D. Zeps, Information against Evil. Conversation with Grok. Case of Bueno Mesquita. #StandwithUkraine,",,,,https://zenodo.org/records/16778088,
ukraina-05,"D. Zeps, Framework for Reviving Filip Orlik's 1710 Constitution as a Governance Model for a Post-Russia Kievan Rus',",,1710,,https://zenodo.org/records/16484131,
ukraina-06,"D. Zeps, The Rebirth of Kievan Rus': The Future of the Russia-Ukraine War: Kievan Rus' as the Transformation of Russia's ,",,,,https://zenodo.org/records/15873145,
ukraina-07,"D. Zeps, Political Chemistry: for Total Ukrainian Victory! #StandWithUkraine,",,,,https://zenodo.org/records/15569946,
ukraina-08,"saruna ar MI par ASV iekšpolitikas sasāpējušiem jautājumiem,","D. Zeps, Kāda attēla analīze",,,https://zenodo.org/records/15488934,
ukraina-09,"D. Zeps, Real Peace or Political Theater? Western Attempts to End the War in Europe,",,,,https://zenodo.org/records/15425385,
ukraina-10,"ASV – Krievija : Šodienas pasaule #StandWithUkraine,","D. Zeps, Ukraina",,,https://zenodo.org/records/17108393,
